,cntry2,value,pty_abbr,notes
546,SE,Klassiskt liberala partiet,KLP,"Liberala partiet (Liberal Party), referred to as Klassiskt liberala partiet (Classical Liberal Party) "
547,SE,Klassiskt Liberala Partiet,KLP,"Liberala partiet (Liberal Party), referred to as Klassiskt liberala partiet (Classical Liberal Party) "
548,SE,klassiskt liberala partiet (ej folkpartiet),KLP,"Liberala partiet (Liberal Party), referred to as Klassiskt liberala partiet (Classical Liberal Party) "
549,SE,Kristna värdepartiet,KVP,Kristna värdepartiet
550,SE,Kristna Värdepartiet,KVP,Kristna värdepartiet
551,SE,Landsbygdspartiet,LPO,Landsbygdspartiet Oberoende
552,SE,Landsbygdspartiet oberoende,LPO,Landsbygdspartiet Oberoende
553,SE,Landsbygdspartiet Oberoende,LPO,Landsbygdspartiet Oberoende
554,SE,Nordiska Motståndsrörelsen,NMR,Nordiska motståndsrörelsen; NMR
555,SE,Pirat partiet,Pirat,
556,SE,Piratpartiet,Pirat,
557,SE,Röstade på Feministiskt Initatitiv,FI,
558,SE,Svenskarnas parti,SvP,"Svenskarnas parti, SvP"
559,SE,Svenskarnas Parti,SvP,"Svenskarnas parti, SvP"
560,SE,Svp,SvP,"Svenskarnas parti, SvP"
561,DK,"Jeg stemte Frank Jensen, IKKE Soc.Dem!!!",SD,
562,DK,KD,KD,
563,DK,Kristendemokraterne,KD,
564,DK,Nye Borgerlige,NB,
565,DK,Retsforbundet,Retsforbundet,
